Antigonon sp.
Antirrhinum majus
Anubias angustifolia
Anubias barteri
Anubias congensis
Anubias heterophylla
Aphandra natalia
Aphelandra aurantiaca
Aphelandra schiedeana
Apios americana
Apium nodiflorum
Apobalis sp.
Apocynum androsaemifolium
Apocynum cannabinum
Apocynum venetum
Apodanthera aspera
Appendicula cornuta
Appendicula malindangensis
Aptenia cordifolia
Apteranthes joannis
Aquilegia atrata
Aquilegia barnebyi
Aquilegia buergeriana
Aquilegia canadensis
Aquilegia coerulea
Aquilegia coerulea-hybr.
Aquilegia desertorum
Aquilegia dinarica
Aquilegia elegantula
Aquilegia flabellata
Aquilegia flabellata-hybr.
Aquilegia formosa
Aquilegia hybr.
Aquilegia chrysantha
Aquilegia kubanica
Aquilegia laramiensis
Aquilegia longissima
Aquilegia parviflora
Aquilegia sp.
Aquilegia viridiflora
Aquilegia vulgaris
Aquilegia vulgaris-hybr.
Arabis nemorensis
Arabis pauciflora
Arabis procurrens
Arabis purpurea
Arabis sudetica
Arabis turrita
Arachnanthe cathcartii
Arachnanthe clarkei
Arachniodes aristata
Arachniodes festina
Arachniodes simplicior
Arachniodes simulans
Arachniodes sp.
Arachniodes standishii
Arachnis annamensis
Arachnis longisepala
Arachnoides sp.
Aralia apioides
Aralia continentalis
Aralia cordata
Aralia elata
Aralia chinensis
Aralia mandshurica
Aralia nudicaulis
Aralia racemosa
Aralia sp.
Aralia spinosa
Araucaria angustifolia
Araucaria araucana
Araucaria columnaris
Araucaria cunninghamii
Araucaria hunsteinii
Araucaria nemorosa
Araucaria rulei
Araucaria scopulorum
Arbutus andrachne
Arbutus arizonica
Arbutus menziesii
Arbutus unedo
Arbutus x andrachnoides
Arbutus xalapensis
Arctostaphylos media
Arctostaphylos nevadensis
Arctostaphylos thymifolia
Arctostaphylos uva ursii
Arctostaphylos uva-ursi
Arctotis acaulis
Arctotis campanulata
Arctotis fastuosa
Arctotis grandis
Arctotis gumbletonii
Arctotis hirsuta
Arctotis revoluta
Arctotis venusta
